LLM,Question Type,Metrics,Average
Claude,saqs,relevance,0.77
Claude,saqs,reading_comprehension,1
Claude,saqs,question_difficulty,0.66
Claude,saqs,question_clarity,0.76
Claude,saqs,context_utilisation,0.97
Claude,blqs,relevance,0.56
Claude,blqs,reading_comprehension,0.96
Claude,blqs,question_difficulty,0.51
Claude,blqs,question_clarity,0.71
Claude,blqs,context_utilisation,0.92
Claude,gfqs,relevance,0.86
Claude,gfqs,reading_comprehension,0.94
Claude,gfqs,question_difficulty,0.54
Claude,gfqs,question_clarity,0.67
Claude,gfqs,context_utilisation,0.99
Claude,mcqs,relevance,0.74
Claude,mcqs,reading_comprehension,0.99
Claude,mcqs,question_difficulty,0.58
Claude,mcqs,question_clarity,0.75
Claude,mcqs,context_utilisation,0.98
ChatGPT,saqs,relevance,0.75
ChatGPT,saqs,reading_comprehension,0.99
ChatGPT,saqs,question_difficulty,0.62
ChatGPT,saqs,question_clarity,0.75
ChatGPT,saqs,context_utilisation,0.98
ChatGPT,blqs,relevance,0.55
ChatGPT,blqs,reading_comprehension,0.94
ChatGPT,blqs,question_difficulty,0.48
ChatGPT,blqs,question_clarity,0.66
ChatGPT,blqs,context_utilisation,0.87
ChatGPT,gfqs,relevance,0.86
ChatGPT,gfqs,reading_comprehension,0.94
ChatGPT,gfqs,question_difficulty,0.54
ChatGPT,gfqs,question_clarity,0.6
ChatGPT,gfqs,context_utilisation,1
ChatGPT,mcqs,relevance,0.77
ChatGPT,mcqs,reading_comprehension,0.99
ChatGPT,mcqs,question_difficulty,0.59
ChatGPT,mcqs,question_clarity,0.76
ChatGPT,mcqs,context_utilisation,0.98
Databricks,saqs,relevance,0.73
Databricks,saqs,reading_comprehension,0.99
Databricks,saqs,question_difficulty,0.65
Databricks,saqs,question_clarity,0.75
Databricks,saqs,context_utilisation,0.93
Databricks,blqs,relevance,0.52
Databricks,blqs,reading_comprehension,0.94
Databricks,blqs,question_difficulty,0.43
Databricks,blqs,question_clarity,0.7
Databricks,blqs,context_utilisation,0.7
Databricks,gfqs,relevance,0.77
Databricks,gfqs,reading_comprehension,0.94
Databricks,gfqs,question_difficulty,0.47
Databricks,gfqs,question_clarity,0.66
Databricks,gfqs,context_utilisation,0.84
Databricks,mcqs,relevance,0.7
Databricks,mcqs,reading_comprehension,0.99
Databricks,mcqs,question_difficulty,0.57
Databricks,mcqs,question_clarity,0.72
Databricks,mcqs,context_utilisation,0.74
DeepSeek,saqs,relevance,0.74
DeepSeek,saqs,reading_comprehension,0.99
DeepSeek,saqs,question_difficulty,0.66
DeepSeek,saqs,question_clarity,0.78
DeepSeek,saqs,context_utilisation,0.97
DeepSeek,blqs,relevance,0.52
DeepSeek,blqs,reading_comprehension,0.95
DeepSeek,blqs,question_difficulty,0.45
DeepSeek,blqs,question_clarity,0.67
DeepSeek,blqs,context_utilisation,0.86
DeepSeek,gfqs,relevance,0.84
DeepSeek,gfqs,reading_comprehension,0.97
DeepSeek,gfqs,question_difficulty,0.5
DeepSeek,gfqs,question_clarity,0.69
DeepSeek,gfqs,context_utilisation,0.99
DeepSeek,mcqs,relevance,0.75
DeepSeek,mcqs,reading_comprehension,0.97
DeepSeek,mcqs,question_difficulty,0.57
DeepSeek,mcqs,question_clarity,0.71
DeepSeek,mcqs,context_utilisation,0.86
Gryphe,saqs,relevance,0.71
Gryphe,saqs,reading_comprehension,0.99
Gryphe,saqs,question_difficulty,0.7
Gryphe,saqs,question_clarity,0.77
Gryphe,saqs,context_utilisation,0.94
Gryphe,blqs,relevance,0.69
Gryphe,blqs,reading_comprehension,0.98
Gryphe,blqs,question_difficulty,0.56
Gryphe,blqs,question_clarity,0.75
Gryphe,blqs,context_utilisation,0.67
Gryphe,gfqs,relevance,0.8
Gryphe,gfqs,reading_comprehension,0.99
Gryphe,gfqs,question_difficulty,0.57
Gryphe,gfqs,question_clarity,0.77
Gryphe,gfqs,context_utilisation,0.93
Gryphe,mcqs,relevance,0.72
Gryphe,mcqs,reading_comprehension,1
Gryphe,mcqs,question_difficulty,0.65
Gryphe,mcqs,question_clarity,0.77
Gryphe,mcqs,context_utilisation,0.81
Llama,saqs,relevance,0.77
Llama,saqs,reading_comprehension,0.99
Llama,saqs,question_difficulty,0.68
Llama,saqs,question_clarity,0.78
Llama,saqs,context_utilisation,0.99
Llama,blqs,relevance,0.52
Llama,blqs,reading_comprehension,0.95
Llama,blqs,question_difficulty,0.46
Llama,blqs,question_clarity,0.7
Llama,blqs,context_utilisation,0.86
Llama,gfqs,relevance,0.86
Llama,gfqs,reading_comprehension,0.95
Llama,gfqs,question_difficulty,0.54
Llama,gfqs,question_clarity,0.71
Llama,gfqs,context_utilisation,1
Llama,mcqs,relevance,0.76
Llama,mcqs,reading_comprehension,0.98
Llama,mcqs,question_difficulty,0.57
Llama,mcqs,question_clarity,0.76
Llama,mcqs,context_utilisation,1
Mistral,saqs,relevance,0.77
Mistral,saqs,reading_comprehension,0.99
Mistral,saqs,question_difficulty,0.64
Mistral,saqs,question_clarity,0.76
Mistral,saqs,context_utilisation,0.98
Mistral,blqs,relevance,0.51
Mistral,blqs,reading_comprehension,0.95
Mistral,blqs,question_difficulty,0.45
Mistral,blqs,question_clarity,0.7
Mistral,blqs,context_utilisation,0.89
Mistral,gfqs,relevance,0.87
Mistral,gfqs,reading_comprehension,0.92
Mistral,gfqs,question_difficulty,0.52
Mistral,gfqs,question_clarity,0.57
Mistral,gfqs,context_utilisation,1
Mistral,mcqs,relevance,0.75
Mistral,mcqs,reading_comprehension,0.99
Mistral,mcqs,question_difficulty,0.55
Mistral,mcqs,question_clarity,0.73
Mistral,mcqs,context_utilisation,0.97
Qwen,saqs,relevance,0.77
Qwen,saqs,reading_comprehension,0.99
Qwen,saqs,question_difficulty,0.66
Qwen,saqs,question_clarity,0.79
Qwen,saqs,context_utilisation,0.98
Qwen,blqs,relevance,0.63
Qwen,blqs,reading_comprehension,0.95
Qwen,blqs,question_difficulty,0.46
Qwen,blqs,question_clarity,0.73
Qwen,blqs,context_utilisation,0.91
Qwen,gfqs,relevance,0.89
Qwen,gfqs,reading_comprehension,0.94
Qwen,gfqs,question_difficulty,0.5
Qwen,gfqs,question_clarity,0.67
Qwen,gfqs,context_utilisation,1
Qwen,mcqs,relevance,0.77
Qwen,mcqs,reading_comprehension,0.98
Qwen,mcqs,question_difficulty,0.58
Qwen,mcqs,question_clarity,0.76
Qwen,mcqs,context_utilisation,0.98
Upstage,saqs,relevance,0.75
Upstage,saqs,reading_comprehension,0.97
Upstage,saqs,question_difficulty,0.7
Upstage,saqs,question_clarity,0.76
Upstage,saqs,context_utilisation,0.99
Upstage,blqs,relevance,0.52
Upstage,blqs,reading_comprehension,0.86
Upstage,blqs,question_difficulty,0.5
Upstage,blqs,question_clarity,0.62
Upstage,blqs,context_utilisation,0.9
Upstage,gfqs,relevance,0.83
Upstage,gfqs,reading_comprehension,0.92
Upstage,gfqs,question_difficulty,0.56
Upstage,gfqs,question_clarity,0.71
Upstage,gfqs,context_utilisation,1
Upstage,mcqs,relevance,0.76
Upstage,mcqs,reading_comprehension,0.98
Upstage,mcqs,question_difficulty,0.64
Upstage,mcqs,question_clarity,0.76
Upstage,mcqs,context_utilisation,0.58
Wizard,saqs,relevance,0.72
Wizard,saqs,reading_comprehension,0.99
Wizard,saqs,question_difficulty,0.63
Wizard,saqs,question_clarity,0.78
Wizard,saqs,context_utilisation,0.89
Wizard,blqs,relevance,0.52
Wizard,blqs,reading_comprehension,0.93
Wizard,blqs,question_difficulty,0.49
Wizard,blqs,question_clarity,0.71
Wizard,blqs,context_utilisation,0.79
Wizard,gfqs,relevance,0.85
Wizard,gfqs,reading_comprehension,0.97
Wizard,gfqs,question_difficulty,0.57
Wizard,gfqs,question_clarity,0.74
Wizard,gfqs,context_utilisation,0.98
Wizard,mcqs,relevance,0.73
Wizard,mcqs,reading_comprehension,0.99
Wizard,mcqs,question_difficulty,0.59
Wizard,mcqs,question_clarity,0.79
Wizard,mcqs,context_utilisation,0.53
